Tipo Autorizzazione,Unità Locale,Cod. Impianto,Denominazione,Gestore,Prov.,Comune,Indirizzo,Latitudine,Longitudine,Colonna georeferenziata
Autorizzazione unica (ordinaria),"FONTANAFREDDA Via Galileo Galilei, 25, Vigonovo",PN_PN022003,"Impianto di stoccaggio spazzamento stradale FONTANAFREDDA Via Galileo Galilei, 25 Vigonovo",COMUNE DI FONTANAFREDDA,PN,FONTANAFREDDA,"Vigonovo Via Galileo Galilei,25",45.985563,12.544345,POINT (12.544345 45.985563)
Autorizzazione unica (ordinaria),GRADO Località Laguna Isola Le Cove,GO_COMGR_001,Impianto di messa in riserva rifiuti da spazzamento stradale GRADO Laguna Isola Le Cove,COMUNE DI GRADO,GO,GRADO,Località Laguna Isola Le Cove,45.685598,13.405922,POINT (13.405922 45.685598)
Autorizzazione unica (ordinaria),MONTEREALE VALCELLINA Zona Industriale,F093027-0007_002,Impianto di stoccaggio spazzamento stradale MONTEREALE VALCELLINA Zona Industriale,COMUNE DI MONTEREALE VALCELLINA,PN,MONTEREALE VALCELLINA,Grizzo Zona Industriale,46.134311,12.660016,POINT (12.660016 46.134311)
Autorizzazione unica (ordinaria),PAGNACCO Via Castellerio 38/A,UD_UD137005,"Impianto di messa in riserva batterie PAGNACCO Via Castellerio, 38/A",COMUNE DI PAGNACCO,UD,PAGNACCO,"Via Castellerio,38/A",46.119819,13.187184,POINT (13.187184 46.119819)
Autorizzazione unica (ordinaria),"PAVIA DI UDINE Via Lauzacco, ex caserma Paravano",F030074-0027_002,"Impianto di stoccaggio spazzamento stradale PAVIA DI UDINE Via Lauzacco, ex caserma Paravano",COMUNE DI PAVIA DI UDINE,UD,PAVIA DI UDINE,ex caserma Paravano Via Lauzacco,45.992165,13.296604,POINT (13.296604 45.992165)
Autorizzazione unica (ordinaria),PORCIA Via del Platano,PN_PN032006,"Impianto di stoccaggio spazzamento stradale e verde PORCIA Via del Platano, 2",COMUNE DI PORCIA,PN,PORCIA,Depuratore Via del Platano,45.95543,12.610123,POINT (12.610123 45.95543)
Autorizzazione unica (ordinaria),PRAVISDOMINI Via Barco,PN_PN052004,Impianto di stoccaggio spazzamento stradale PRAVISDOMINI Via Barco,COMUNE DI PRAVISDOMINI,PN,PRAVISDOMINI,Via Barco,45.813834,12.68002,POINT (12.68002 45.813834)
Autorizzazione unica (ordinaria),"SACILE Via del Camol, San Giovanni di Livenza",PN_PN037002,"Impianto di stoccaggio spazzamento stradale SACILE Via del Camol, San Giovanni di Livenza",COMUNE DI SACILE,PN,SACILE,San Giovanni di Livenza Via del Camol,45.926265,12.52384,POINT (12.52384 45.926265)
Autorizzazione unica (ordinaria),SAN DANIELE DEL FRIULI Via Ermes Midena,F030099-0011_002,Impianto di stoccaggio spazzamento stradale SAN DANIELE DEL FRIULI Via Ermes Midena,COMUNE DI SAN DANIELE DEL FRIULI,UD,SAN DANIELE DEL FRIULI,Via Ermes Midena,46.150278,12.983804,POINT (12.983804 46.150278)
Autorizzazione unica (ordinaria),SAN QUIRINO Via San Rocco,CDR/PN040003,Centro di raccolta autorizzato SAN QUIRINO Via San Rocco,COMUNE DI SAN QUIRINO,PN,SAN QUIRINO,Via San Rocco,46.032294,12.683287,POINT (12.683287 46.032294)
Autorizzazione unica (ordinaria),SAN VITO AL TAGLIAMENTO Viale Zuccherificio,PN_PN041008,Impianto di stoccaggio spazzamento stradale SAN VITO AL TAGLIAMENTO Viale Zuccherificio,COMUNE DI SAN VITO AL TAGLIAMENTO,PN,SAN VITO AL TAGLIAMENTO,Centro di raccolta Viale Zuccherificio,45.90583,12.849289,POINT (12.849289 45.90583)
Autorizzazione unica (ordinaria),SPILIMBERGO Via del Macello,PN_PN044003,Impianto di stoccaggio spazzamento stradale SPILIMBERGO Via del Macello,COMUNE DI SPILIMBERGO,PN,SPILIMBERGO,Via del Macello,46.108635,12.881607,POINT (12.881607 46.108635)
Autorizzazione unica (ordinaria),TARCENTO Via Angorie,F030116-0008_002,Impianto di stoccaggio spazzamento stradale TARCENTO Via Angorie,COMUNE DI TARCENTO,UD,TARCENTO,Via Angorie,46.209946,13.21579,POINT (13.21579 46.209946)
Autorizzazione unica (ordinaria),"TRICESIMO Via San Giorgio, presso Caserma S. Patussi",F030127-0004_002,"Impianto di stoccaggio spazzamento stradale TRICESIMO Via San Giorgio, presso Caserma S. Patussi",COMUNE DI TRICESIMO,UD,TRICESIMO,Via San Giorgio,46.152476,13.22375,POINT (13.22375 46.152476)
Autorizzazione unica (ordinaria),VIVARO Via di Fanna,PN_PN050001,Impianto di stoccaggio spazzamento stradale VIVARO Via di Fanna,COMUNE DI VIVARO,PN,VIVARO,Via di Fanna,46.090116,12.771022,POINT (12.771022 46.090116)
Autorizzazione AIA,"SAN VITO AL TAGLIAMENTO Via Gemona 2, Zona Industriale Ponte Rosso",PN/AIA/103,"Impianto di depurazione acque reflue urbane e industriali in aia SAN VITO AL TAGLIAMENTO Via Gemona 2, Zona Industriale Ponte Rosso",CONSORZIO DI SVILUPPO ECONOMICO LOCALE DEL PONTE ROSSO - TAGLIAMENTO,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Gemona,2",45.934995,12.883621,POINT (12.883621 45.934995)
Procedura semplificata/AUA,"SAN GIORGIO DI NOGARO Porto Margreth, Zona Industriale Aussa-Corno",COM_1017,"Impianto di messa in riserva rifiuti metallici SAN GIORGIO DI NOGARO Porto Margreth, Zona Industriale Aussa-Corno",CONSORZIO PORTONUOVO,UD,SAN GIORGIO DI NOGARO,Zona Industriale Aussa-Corno Porto Margreth,45.797943,13.227957,POINT (13.227957 45.797943)
Autorizzazione unica (ordinaria),"MAGNANO IN RIVIERA Via Zire, 5",F030052-0012_002,"Impianto di stoccaggio MAGNANO IN RIVIERA Via Zire, 5",CONU S.R.L.,UD,MAGNANO IN RIVIERA,"Via Zire,5",46.219781,13.193727,POINT (13.193727 46.219781)
Autorizzazione unica (ordinaria),PORCIA Via Torricelli 14,PN_PN032008,Impianto di recupero RAEE e messa in riserva rifiuti PORCIA Via Torricelli 14,COOPERATIVA SOCIALE KARPOS - SOCIETA' COOPERATIVA O.N.L.U.S.,PN,PORCIA,"Talponedo Via Evangelista Torricelli,14",45.9633,12.600287,POINT (12.600287 45.9633)
Autorizzazione unica (ordinaria),GEMONA DEL FRIULI Via Venzone 21,UD_XYMOB007,Impianto mobile Rev Gcr matr. 11216 GEMONA DEL FRIULI Via Venzone 21,COPETTI S.P.A.,UD,GEMONA DEL FRIULI,"Via Venzone,21",,,
Procedura semplificata/AUA,SAN VITO AL TORRE Via Remis 20,COM_306,"Impianto di recupero rifiuti metallici SAN VITO AL TORRE Via Remis, 20",CORRADINI S.R.L.,UD,SAN VITO AL TORRE,"Nogaredo al Torre Via Remis,20",45.920631,13.365812,POINT (13.365812 45.920631)
Autorizzazione AIA,BUJA Via Praz dai Trois 4,UD/AIA/119,"Impianto di recupero rifiuti metallici BUJA Via Praz dai Trois 4, Zona Industriale Saletti",CORTE S.P.A.,UD,BUIA,"Zona Industriale Saletti Via Praz di Trois,4",46.222892,13.086562,POINT (13.086562 46.222892)
Autorizzazione unica (ordinaria),VILLESSE Via Aquileia 36,GO_GO025000,Impianto di autodemolizione VILLESSE Via Aquileia 36,COSTANTIN GINO & C. S.N.C.,GO,VILLESSE,"Via Aquileia,36",45.867981,13.441846,POINT (13.441846 45.867981)
Procedura semplificata/AUA,"SAN PIER D'ISONZO Via Soleschiano, 20",COM_803,Impianto di recupero rifiuti inerti SAN PIER D'ISONZO Via Soleschiano 20,COSTRUZIONI ISONZO S.R.L. - CO.IS,GO,SAN PIER D'ISONZO,"Via Soleschiano,20",45.841312,13.472446,POINT (13.472446 45.841312)
Autorizzazione unica (ordinaria),"SAN PIER D'ISONZO Via Soleschiano, 20",DIS207GO,Discarica per inerti SAN PIER D'ISONZO Via Soleschiano 20,COSTRUZIONI ISONZO S.R.L. - CO.IS,GO,SAN PIER D'ISONZO,"Via Soleschiano,20",45.840148,13.472896,POINT (13.472896 45.840148)
Procedura semplificata/AUA,VALVASONE ARZENE Via Fornasini 18/A,PN-COM-255,"Impianto di recupero plastica, carta, legno, metalli VALVASONE ARZENE Via Fornasini 18/A",C.S.R. S.R.L.,PN,VALVASONE ARZENE,"Tabina Via Fornasini,18/A",45.96262,12.874624,POINT (12.874624 45.96262)
Autorizzazione unica (ordinaria),PORDENONE Via Segaluzza 30/A,PN_PN033004,Impianto di trattamento rifiuti chimici solidi e liquidi PORDENONE Via Segaluzza 30/A,DARSA  S.R.L.,PN,PORDENONE,"Zona Industriale Vallenoncello SUD Via Segaluzza,30/A",45.929547,12.651494,POINT (12.651494 45.929547)
Autorizzazione unica (ordinaria),MAGNANO IN RIVIERA Strada Statale Pontebbana 46,UD_00007833,Impianto di autodemolizione MAGNANO IN RIVIERA Strada Statale Pontebbana 46,DEL MEDICO WALTER,UD,MAGNANO IN RIVIERA,"Bueriis Strada Statale n.13 ""Pontebbana"",46",46.209303,13.185562,POINT (13.185562 46.209303)
Autorizzazione unica (ordinaria),"SAN DANIELE DEL FRIULI Via dei Ponti 47, Cimano",UD_XYMOB022,Impianto mobile OM mat. 99A12400T SAN DANIELE DEL FRIULI Via dei Ponti 47,DE MONTE ARTURO & C. S.N.C.,UD,SAN DANIELE DEL FRIULI,"Via dei Ponti,47",,,
Procedura semplificata/AUA,"SAN DANIELE DEL FRIULI Via Prataront 47, Cimano fg. 3 mapp. 48,49,52,53",COM_573,Impianto di recupero rifiuti da costruzione e demolizione SAN DANIELE DEL FRIULI via Prataront 47,DE MONTE ARTURO & C. S.N.C.,UD,SAN DANIELE DEL FRIULI,"Cimano Via Prataront,47",46.207233,13.017715,POINT (13.017715 46.207233)
Autorizzazione AIA,"SAN GIOVANNI AL NATISONE Via Braiduzza, 16, Cascina Rinaldi",UD/AIA/36,"Impianto di trattamento rifiuti liquidi in aia SAN GIOVANNI AL NATISONE Via Braiduzza, 16, Cascina Rinaldi",DEPURA S.R.L.,UD,SAN GIOVANNI AL NATISONE,"Zona Industriale Cascina Rinaldi Via Braiduzza,16",45.971018,13.421066,POINT (13.421066 45.971018)
Autorizzazione AIA,"CODROIPO Via Prati di Loreto, Zona industriale Pannellia",UD/AIA/132,"Impianto di compostaggio e digestione anaerobica con recupero energetico CODROIPO Via Prati di Loreto, Zona Industriale Pannellia",DESAG  ECOLOGIA S.C.A R.L.,UD,CODROIPO,"Zona Industriale Pannellia Via Prati di Loreto,1",45.979637,12.929977,POINT (12.929977 45.979637)
Procedura semplificata/AUA,TOLMEZZO Via dell'Industria 21,COM_1042,"Impianto di messa in riserva rifiuti da costruzione e demolizione TOLMEZZO Via dell'Industria, 21",DEXIVE S.P.A.,UD,TOLMEZZO,"Via dell'Industria,21",46.391246,13.030642,POINT (13.030642 46.391246)
Procedura semplificata/AUA,SAN QUIRINO Via Comina 15,PN-COM-268,Impianto di messa in riserva rifiuti da costruzione e demolizione SAN QUIRINO Via Comina 15,DEXIVE S.P.A.,PN,SAN QUIRINO,"Comina Via Comina,15",45.99781,12.651462,POINT (12.651462 45.99781)
Procedura semplificata/AUA,SGONICO Località Stazione di Prosecco,COM_965,Impianto di compostaggio verde SGONICO Località Stazione di Prosecco,ECOCENTRO TRIESTE DI STEFANIA CINELLO & C. SNC,TS,SGONICO,Località Stazione di Prosecco,45.718047,13.748686,POINT (13.748686 45.718047)
Autorizzazione unica (ordinaria),PASIAN DI PRATO Via Venceslao Menazzi Moretti 12,F030072-0015_002,Impianto di messa in riserva e deposito preliminare rifiuti sanitari PASIAN DI PRATO Via Venceslao Menazzi Moretti 12,ECOFARM S.R.L.,UD,PASIAN DI PRATO,"Via Venceslao Menazzi Moretti,12",46.053756,13.170215,POINT (13.170215 46.053756)
Autorizzazione unica (ordinaria),"POLCENIGO Località Artugna, Sponda sinistra Torrente Artugna (sud)",DIS220PN,"Discarica per inerti POLCENIGO Località Artugna, Sponda sinistra Torrente Artugna (sud)",ECOFRIULI S.R.L.,PN,POLCENIGO,Sponda sinistra Torrente Artugna Località Artugna,46.017756,12.527659,POINT (12.527659 46.017756)
Procedura semplificata/AUA,SAN GIORGIO DI NOGARO Via Meucci 7,COM_253,"Impianto di messa in riserva legno SAN GIORGIO DI NOGARO Via Meucci, 7",ECOLEGNO UDINE - SOCIETA' A RESPONSABILITA' LIMITATA,UD,SAN GIORGIO DI NOGARO,"Via Antonio Meucci,7",45.795448,13.22107,POINT (13.22107 45.795448)
Autorizzazione unica (ordinaria),"AIELLO DEL FRIULI Via dell'Industria 3, Joannis",UD_UD0000998,"Impianto di recupero cartongesso AIELLO DEL FRIULI Via dell'Industria 3, Joannis",ECOLOGICAL WAY S.R.L.,UD,AIELLO DEL FRIULI,"Joannis Via dell'Industria,3",45.881072,13.352085,POINT (13.352085 45.881072)
Autorizzazione unica (ordinaria),"MONFALCONE Via Vittorio Veneto, 14",F031012-0014_002,Impianto di messa in riserva legno MONFALCONE Via Vittorio Veneto 14,ECO-MAR S.R.L. - IN LIQUIDAZIONE,GO,MONFALCONE,"Via Vittorio Veneto,14",45.7933,13.549161,POINT (13.549161 45.7933)
Autorizzazione AIA,SPILIMBERGO Via Zona industriale sul Cosa,PN/AIA/23,Impianto di inceneriemto SPILIMBERGO Via Zona Industriale sul Cosa,ECO-MISTRAL SRL,PN,SPILIMBERGO,Inceneritore Via Zona Industriale sul Cosa,46.100825,12.873008,POINT (12.873008 46.100825)
Autorizzazione unica (ordinaria),SPILIMBERGO Via Zona industriale sul Cosa,PN/AIA/23,Impianto di inceneriemto SPILIMBERGO Via Zona Industriale sul Cosa,ECO-MISTRAL SRL,PN,SPILIMBERGO,Inceneritore Via Zona Industriale sul Cosa,46.100825,12.873008,POINT (12.873008 46.100825)
Autorizzazione unica (ordinaria),SAN VITO AL TAGLIAMENTO Via Clauzetto 42,PN_XYMOB007,Impianto mobile recupero RAEE SAN VITO AL TAGLIAMENTO Via Clauzetto 42,ECO SINERGIE SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Clauzetto,42",45.949359,12.871445,POINT (12.871445 45.949359)
Autorizzazione AIA,"SAN VITO AL TAGLIAMENTO Via Clauzetto 42, Zona Industriale Ponte Rosso",PN/AIA/97,"Impianto gestione rifiuti urbani e speciali con produzione css SAN VITO AL TAGLIAMENTO Via Clauzetto, 42, Zona Industriale Ponte Rosso",ECO SINERGIE SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Clauzetto,42",45.949762,12.871765,POINT (12.871765 45.949762)
Procedura semplificata/AUA,"CAMPOFORMIDO Via Principe di Udine,130",UL-F023082-0003_002,"Impianto di stoccaggio oli esausti CAMPOFORMIDO Via Principe di Udine,130",ECOSOLE S.R.L. - SOCIETA' UNIPERSONALE,UD,CAMPOFORMIDO,"Via Principe di Udine,130",46.02588,13.170239,POINT (13.170239 46.02588)
Autorizzazione unica (ordinaria),AVIANO Via San Martino 3,F093004-0016_002,"Impianto di messa in riserva e selezione plastica AVIANO Via San Martino, 3",ECOSOL ITALIA S.R.L. ***IN LIQUIDAZIONE***,PN,AVIANO,"Via San Martino,3",46.0409,12.3645,POINT (12.3645 46.0409)
Autorizzazione unica (ordinaria),"VILLESSE Via Trieste, 31",GO_XYMOB010,"Impianto mobile Doppstadt DW 3060K matr. 052 VILLESSE Via Trieste, 31",ECO STUDIO S.R.L.,GO,VILLESSE,"Via Trieste,31",45.858194,13.451214,POINT (13.451214 45.858194)
Procedura semplificata/AUA,"VILLESSE Via Trieste, 31",COM_849,Impianto di recupero rifiuti vari VILLESSE Via Trieste 31,ECO STUDIO S.R.L.,GO,VILLESSE,"Via Trieste,31",45.858044,13.452963,POINT (13.452963 45.858044)
Procedura semplificata/AUA,"CORMONS Via Corona, 27",COM_850,"Impianto di recupero metalli CORMONS Via Corona, 27",EDALUCCI ANDREA,GO,CORMONS,"Via Corona,27",45.943935,13.471609,POINT (13.471609 45.943935)
Procedura semplificata/AUA,TRIESTE Strada per Basovizza 92,COM_643,Impianto di recupero ceneri e inerti TRIESTE Strada per Basovizza 92,EDILCEM - S.R.L.,TS,TRIESTE,"Strada per Basovizza,92",45.645192,13.826975,POINT (13.826975 45.645192)
Procedura semplificata/AUA,AZZANO DECIMO Via Tiezzo,PN-COM-240,Impianto di recupero inerti da costruzione e demolizione AZZANO DECIMO Via Tiezzo,EDIL RESTAURO S.N.C. DI FAVOT ROBERTO E PAOLO,PN,AZZANO DECIMO,Via Tiezzo,45.912369,12.664233,POINT (12.664233 45.912369)
Autorizzazione unica (ordinaria),MARTIGNACCO Via Arturo Malignani 12,F030057-0008_003,Impianto mobile di recupero inerti Rubble Master RM80 GO! matr. 0117 MARTIGNACCO Via Arturo Malignani 12,EDILVERDE S.R.L.,UD,MARTIGNACCO,"Via Arturo Malignani,12",,,
Autorizzazione AIA,"PORCIA Via Brentella 15, Località Comina",DIS149PN/AIA/10,"Discarica per non pericolosi in aia PORCIA Via Brentella 15, Località Comina",ELECTROLUX ITALIA S.P.A.,PN,PORCIA,"Comina Via Brentella,15",45.981031,12.623046,POINT (12.623046 45.981031)
Procedura semplificata/AUA,UDINE Via Strada dell'Argine,COM_350,Impianto di recupero energetico biogas di discarica UDINE Via Strada dell'Argine,ELETTRICITA' DAI RIFIUTI URBANI SRL,UD,UDINE,San Gottardo Strada dell'Argine,46.087009,13.278957,POINT (13.278957 46.087009)
Autorizzazione unica (ordinaria),VENZONE Strada Statale Pontebbana 73,UD_XYMOB031,Impianto mobile di recupero inerti  Hartl matr. 523-110-137 VENZONE Strada Statale Pontebbana 73,ENRICO RAVANELLI S.R.L.,UD,VENZONE,"Stazione Carnia Strada Statale n.13 ""Pontebbana"",73",,,
Autorizzazione unica (ordinaria),"PRADAMANO Via Cussignacco, 78/11",UD_UD080005,"Impianto di stoccaggio e recupero rifiuti non pericolosi PRADAMANO Via Cussignacco, 78/11",ERGOPLAST S.R.L.,UD,PRADAMANO,"Via Cussignacco,78/11",46.026527,13.275572,POINT (13.275572 46.026527)
Autorizzazione AIA,"OSOPPO Via Europa Unita, 1",UD/AIA/113,Impianto di recupero materia ed energia da legno OSOPPO Via Europa Unita 1,FANTONI S.P.A.,UD,OSOPPO,"Rivoli Via Europa Unita,1",46.233359,13.079262,POINT (13.079262 46.233359)
Autorizzazione unica (ordinaria),"OSOPPO Via Europa Unita, 1",UD/AIA/113,Impianto di recupero materia ed energia da legno OSOPPO Via Europa Unita 1,FANTONI S.P.A.,UD,OSOPPO,"Rivoli Via Europa Unita,1",46.233359,13.079262,POINT (13.079262 46.233359)
Autorizzazione AIA,REANA DEL ROJALE Via Leonardo Da Vinci 11,UD/AIA/12,"Impianto di recupero scorie di fonderia REANA DEL ROIALE Via Leonardo da Vinci, 11 -AIA/12",F.A.R. - FONDERIE ACCIAIERIE ROIALE - S.P.A.,UD,REANA DEL ROIALE,"Via Leonardo da Vinci,11",46.142839,13.225203,POINT (13.225203 46.142839)
Autorizzazione unica (ordinaria),"GRADISCA D'ISONZO Via dell'Industria, 6",GO_GO008002,"Impianto di stoccaggio e selezione rifiuti vari GRADISCA D'ISONZO Via dell'Industria, 6",FENICE ECOLOGIA,GO,GRADISCA D'ISONZO,"Via dell'Industria,6",45.883355,13.477307,POINT (13.477307 45.883355)
Autorizzazione AIA,OSOPPO Zona Industriale Rivoli,UD/AIA/6,Attività di recupero metalli in acciaieria OSOPPO Zona Industriale Rivoli - AIA,FERRIERE NORD S.P.A.,UD,OSOPPO,"Zona Industriale di Rivoli Via delle Ferriere,9",46.235079,13.079876,POINT (13.079876 46.235079)
Procedura semplificata/AUA,REANA DEL ROJALE Via Carbonaria 60/2,COM_925,Impianto di recupero inerti da costruzione e demolizione REANA DEL ROJALE Via Carbonaria 60/2,FIMOTER S.N.C. DI CORNACCHINI CLAUDIO E LORIS,UD,REANA DEL ROIALE,"Rizzolo Via Carbonaria,60/2",46.121513,13.249512,POINT (13.249512 46.121513)
Procedura semplificata/AUA,"MANIAGO Via Ponte Giulio, Zona Industriale Campagna",PN-COM-199,"Impianto di recupero inerti MANIAGO Via Ponte Giulio, Zona Industriale Campagna","F.LLI CRISTOFOLI DI LIO, LUIGI & C. S.N.C.",PN,MANIAGO,Zona Industriale Campagna Via Ponte Giulio,46.146164,12.72292,POINT (12.72292 46.146164)
Procedura semplificata/AUA,"AZZANO DECIMO Via degli Artigiani,14 Corva",F093032-0016_003,"Impianto di messa in riserva raee AZZANO DECIMO Via degli Artigiani,14 Corva",F.LLI DE LUCA,PN,AZZANO DECIMO,"Corva Via degli Artigiani,14",45.910912,12.663627,POINT (12.663627 45.910912)
Autorizzazione unica (ordinaria),"CORMONS Strada Regionale n.56, km 21,5",F031002-0008_002,"Impianto di autodemolizione CORMONS Strada Regionale n.56, km 21,5",F.LLI GUERRA DI EDI GUERRA & C. - S.N.C.,GO,CORMONS,"Strada Regionale n.56 ""di Gorizia"",km 21,5",45.952439,13.440146,POINT (13.440146 45.952439)
Autorizzazione unica (ordinaria),FAGAGNA Via Comelli 37,UL-F030106-0006_003,"Impianto mobile Keestrack NV  Mod. Novum 4215 Matr. n. 301  FAGAGNA Via Comelli, 37",F.LLI VARUTTI S.R.L.,UD,FAGAGNA,"Via Francesco Comelli,37",,,
Autorizzazione unica (ordinaria),FAGAGNA Via Comelli 37,UD_XYMOB029,Impianto mobile di recupero inerti OM mat. 99B02300T FAGAGNA Via Comelli 37,F.LLI VARUTTI S.R.L.,UD,FAGAGNA,"Via Francesco Comelli,37",,,
Procedura semplificata/AUA,"FAGAGNA Strada Provinciale 10 Medio Friuli, km 12",COM_995,"Impianto di recupero inerti FAGAGNA Strada provinciale 10 Medio Friuli, km 12",F.LLI VARUTTI S.R.L.,UD,FAGAGNA,"Strada Provinciale n.10,km 12",46.085316,13.088472,POINT (13.088472 46.085316)
Autorizzazione AIA,PORDENONE Via Brentella,DIS267PN/AIA/26,Discarica per non pericolosi PORDENONE Via Brentella,FONDERIA SA.BI. S.P.A.,PN,PORDENONE,Via Brentella,45.977751,12.627201,POINT (12.627201 45.977751)
Autorizzazione AIA,"MANIAGO Via Ponte Giulio, 45",PN/AIA/78,"Attività di recupero metalli non ferrosi in fonderia MANIAGO Via Ponte Giulio, 45",FONDERIE PANDOLFO S.P.A.,PN,MANIAGO,"Zona Industriale Campagna Via Ponte Giulio,45",46.146222,12.71851,POINT (12.71851 46.146222)
Autorizzazione AIA,"MANZANO Via Udine, 40",UD/AIA/24,"Impianto di produzione laterizi MANZANO Via Udine, 40 -AIA-",FORNACI DI MANZANO S.P.A,UD,MANZANO,"Via Udine,40",45.993243,13.362681,POINT (13.362681 45.993243)
Procedura semplificata/AUA,"SAN GIORGIO DELLA RICHINVELDA, Via Truppe Alpine s.n.",F093038-0011_002,"Impianto di recupero inerti SAN GIORGIO DELLA RICHINVELDA Via Truppe Alpine,s.n.",FORNASIER SCAVI S.A.S. DI ALESSIO FORNASIER E IVAN FORNASIER,PN,SAN GIORGIO DELLA RICHINVELDA,"Via Truppe Alpine,s.n.",46.047736,12.854528,POINT (12.854528 46.047736)
Procedura semplificata/AUA,"ROVEREDO IN PIANO Via IV Novembre, 38",PN-COM-174,"Impianto di recupero inerti ROVEREDO IN PIANO Via IV Novembre, 38",FORNER GIUSEPPE S.R.L.,PN,ROVEREDO IN PIANO,"Lovera Via IV Novembre,38",45.994774,12.599355,POINT (12.599355 45.994774)
Autorizzazione unica (ordinaria),"RUDA Via Chiozza 4, La Fredda",UD_00003306,"Impianto di recupero metalli RUDA Via Chiozza 4, La Fredda",FRATELLI PETEAN S.N.C. DI PETEAN IVAN & WALMI,UD,RUDA,"La Fredda Via Luigi Chiozza,4",45.837207,13.375581,POINT (13.375581 45.837207)
Autorizzazione unica (ordinaria),TRIESTE Via Fianona 2,TS_TS006002,"Impianto di autodemolizione TRIESTE Via Fianona, 2",FRATELLI ZAMPA - S.N.C. DI MARCO E ROBERTO ZAMPA,TS,TRIESTE,"Via Fianona,2",45.626534,13.79628,POINT (13.79628 45.626534)
Autorizzazione unica (ordinaria),"CODROIPO Via Prati di Loreto, Zona Industriale Pannellia",F030109-0013_002,"Impianto sperimentale trattamento amianto CODROIPO Via Prati di Loreto, Zona Industriale Pannellia",FRIULANA COSTRUZIONI S.R.L.,UD,CODROIPO,Zona Industriale Pannellia Via Prati di Loreto,45.985562,12.933163,POINT (12.933163 45.985562)
Autorizzazione AIA,"CODROIPO Via Prati di Loreto, 34, Zona Industriale Pannellia",UD/AIA/100,"Impianto di deposito preliminare rifiuti contenenti amianto CODROIPO Via Prati di Loreto, 34, Zona Industriale Pannellia",FRIULANA COSTRUZIONI S.R.L.,UD,CODROIPO,"Zona Industriale Pannellia Via Prati di Loreto,34",45.984975,12.932995,POINT (12.932995 45.984975)
Procedura semplificata/AUA,"PALMANOVA Via I Maggio, 15",COM_454,"Impianto di recupero metalli PALMANOVA Via I Maggio, 15",FRIULANA METALLI - S.P.A.,UD,PALMANOVA,"Zona Industriale Via I Maggio,15",45.909657,13.291023,POINT (13.291023 45.909657)
Autorizzazione unica (ordinaria),"VARMO Via Santa Radegonda, 15",UD_XYMOB001,"Impianto mobile OM mat. 99A12900/2001 VARMO Via Santa Radegonda, 15",FRIULI FRANTUMAZIONI S.R.L. - IN LIQUIDAZIONE -,UD,VARMO,"Via Santa Radegonda,15",,,
Autorizzazione AIA,"POVOLETTO Via Giovanni Battista Maddalena, 25",UD/AIA/117,"Impianto di stoccaggio, selezione e recupero in AIA POVOLETTO Via Giovanni Battista Maddalena, 25",FRIUL JULIA APPALTI - S.R.L.,UD,POVOLETTO,"Zona Industriale di Grions del Torre Via Giovanni Battista Maddalena,25",46.093421,13.293958,POINT (13.293958 46.093421)
Autorizzazione AIA,"PRADAMANO Via Pier Paolo Pasolini, 35/11",UD/AIA/91,"Impianto di stoccaggio PRADAMANO Via Pier Paolo Pasolini, 35/11 - AIA/91",FRIUL JULIA APPALTI - S.R.L.,UD,PRADAMANO,"Via Pier Paolo Pasolini,35/11",46.024183,13.279045,POINT (13.279045 46.024183)
Autorizzazione AIA,"MANIAGO Località Cossana, Lotti 3-4-5",DIS138PN/AIA/27,"Discarica per non pericolosi in aia MANIAGO Località Cossana, Lotti 3-4-5",FRIUL JULIA APPALTI - S.R.L.,PN,MANIAGO,Località Cossana,46.117908,12.714693,POINT (12.714693 46.117908)
Procedura semplificata/AUA,"PORDENONE Via Castelfranco Veneto, 83/6",PN-COM-264,"Impianto di messa in riserva PORDENONE Via Castelfranco Veneto, 83/6",FRIULMETALLI DI BONDI JURY,PN,PORDENONE,"La Comina Via Castelfranco Veneto,83/6",45.986982,12.628111,POINT (12.628111 45.986982)
Procedura semplificata/AUA,MAJANO Località Ponte Ledra,COM_461,Impianto di recupero inerti MAJANO Località Ponte Ledra,FRUCCO ELIO & CRISTIAN S.N.C.,UD,MAJANO,Tiveriacco Località Ponte Ledra,46.197968,13.057101,POINT (13.057101 46.197968)
Procedura semplificata/AUA,"SAN DORLIGO DELLA VALLE Località Puglie di Domio, 222",F032006-0087_002,"Impianto di stoccaggio oli esausti SAN DORLIGO DELLA VALLE Località Puglie di Domio, 222",FULVIO BATTAGLIA,TS,SAN DORLIGO DELLA VALLE,"Località Puglie di Domio,222",45.616472,13.834359,POINT (13.834359 45.616472)
Autorizzazione unica (ordinaria),"PORCIA Via del Porto, 10",PN_PN032002,"Impianto di autodemolizione PORCIA Via del Porto, 10",GARAGE VENEZIA DI RUOSO MARIO,PN,PORCIA,"Via del Porto,10",45.968003,12.62772,POINT (12.62772 45.968003)
